iter	MultiClass
215	0.08362405083
216	0.08308075064
217	0.08261170931
218	0.08208032629
219	0.08158568987
220	0.08113644901
221	0.08074567997
222	0.08023898622
223	0.07981885019
224	0.0794048043
225	0.07890951737
226	0.07844765014
227	0.07789438628
228	0.07744395009
229	0.0769708522
230	0.07660499489
231	0.07611184425
232	0.07576412236
233	0.07530941933
234	0.07485980838
235	0.0744529613
236	0.07403855028
237	0.0735887355
238	0.07315775602
239	0.07283452158
240	0.0725084045
241	0.07207349096
242	0.07164930839
243	0.07125760326
244	0.07088365332
245	0.07048406213
246	0.07010046393
247	0.06969070076
248	0.0693417868
249	0.06895675179
250	0.06854948794
251	0.06826279005
252	0.06788673243
253	0.06753149597
254	0.06718340765
255	0.06685208544
256	0.06651054233
257	0.06624335999
258	0.0658793255
259	0.06549551709
260	0.06514974313
261	0.06482379008
262	0.06449819508
263	0.06418824339
264	0.06385218198
265	0.06346072773
266	0.06313864413
267	0.06280952181
268	0.06249543779
269	0.06217157499
270	0.06189497108
271	0.06154904435
272	0.06124446375
273	0.0609426841
274	0.06063696783
275	0.06034658404
276	0.06006002545
277	0.05976701183
278	0.05948321553
279	0.05917214086
280	0.05886356755
281	0.05859279495
282	0.05833880991
283	0.05806015232
284	0.05781068112
285	0.05752444498
286	0.05725291825
287	0.05698119117
288	0.0567029914
289	0.05650022796
290	0.05626879458
291	0.05600480211
292	0.05571774177
293	0.05544144323
294	0.05518443312
295	0.05492490434
296	0.05467235188
297	0.05444878744
298	0.05420111978
299	0.05393031456
300	0.05373055894
301	0.05347634497
302	0.05327230473
303	0.05302498187
304	0.05274883599
305	0.05252884995
306	0.05230703843
307	0.0521064781
308	0.05184493702
309	0.05162180866
310	0.05138784469
311	0.05115623898
312	0.05093946347
313	0.05072148263
314	0.05053219006
315	0.05036628948
316	0.05017039788
317	0.04994299898
318	0.04971702702
319	0.04948757036
320	0.04930438058
321	0.04913021647
322	0.04899353229
323	0.04883931163
324	0.04862820935
325	0.04841314519
326	0.04822522981
327	0.04807565804
328	0.04790463565
329	0.04775442125
330	0.04755912819
331	0.04736980704
332	0.04717752155
333	0.04703417122
334	0.04681720696
335	0.04662996647
336	0.0464685082
337	0.04629200728
338	0.04608093502
339	0.04585532733
340	0.04569855169
341	0.04552711324
342	0.04529257291
343	0.04512999811
344	0.04495272209
345	0.04475248963
346	0.04458916523
347	0.04436532167
348	0.04419740203
349	0.04401271824
350	0.04386768909
351	0.04372899453
352	0.04360875687
353	0.0434662736
354	0.04331925474
355	0.04313862212
356	0.04299084535
357	0.04281542218
358	0.04269590198
359	0.04254452146
360	0.04238779961
361	0.0422311695
362	0.04206591647
363	0.04191157576
364	0.04178469914
365	0.0416665909
366	0.04153588393
367	0.04142317003
368	0.04123436974
369	0.04112325811
370	0.04097740707
371	0.04083794792
372	0.04069956619
373	0.04055454732
374	0.04041177368
375	0.04027582905
376	0.0401206479
377	0.03998686855
378	0.03985467911
379	0.03971615748
380	0.03957256262
381	0.03943676222
382	0.03931374735
383	0.03917468775
384	0.03905064697
385	0.03893815447
386	0.03880762583
387	0.03868176162
388	0.03854133852
389	0.03841171836
390	0.03830853768
391	0.03819659045
392	0.03804740666
393	0.03792623149
394	0.03781510127
395	0.03767725942
396	0.03755295772
397	0.0374283129
398	0.03729988612
399	0.0371868784
400	0.0370857494
401	0.03697729817
402	0.03685464607
403	0.03673551546
404	0.03659658711
405	0.03646701487
406	0.03637307067
407	0.03627951064
408	0.03615841457
409	0.03604841181
410	0.03593661562
411	0.03583430788
412	0.03571030084
413	0.03560681513
414	0.03549761562
415	0.03539182411
416	0.03528065041
417	0.03517228103
418	0.03508556783
419	0.03498922425
420	0.03490663973
421	0.03482566056
422	0.03472399012
423	0.03463150015
424	0.03452056788
425	0.03442072373
426	0.03432065004
427	0.03416444177
428	0.03407476058
429	0.03397166555
430	0.03389278086
431	0.03378627098
432	0.03371454207
433	0.03362650576
434	0.03352534972
435	0.0334253426
436	0.03330371201
437	0.03320496822
438	0.03313142566
439	0.03303306609
440	0.03295229421
441	0.03286084781
442	0.03276460371
443	0.03267171304
444	0.03259935452
445	0.03251738649
446	0.03241419686
447	0.03234173108
448	0.03226099714
449	0.03218685874
450	0.0320943259
451	0.03199838186
452	0.03192662547
453	0.03182690306
454	0.03173641639
455	0.03165060848
456	0.03154230224
457	0.03146143317
458	0.03138309415
459	0.03129845097
460	0.0312284203
461	0.03114100582
462	0.03106487635
463	0.03097197847
464	0.03089087371
465	0.03079897304
466	0.03071386541
467	0.03062922379
468	0.03055585783
469	0.03047206928
470	0.03038777086
471	0.03031124386
472	0.03024963135
473	0.03017115781
474	0.03008673546
475	0.03000177848
476	0.02994140517
477	0.02985518762
478	0.02977971422
479	0.02969935233
480	0.0296236955
481	0.0295412262
482	0.02947404389
483	0.02938356223
484	0.02930587454
485	0.02923789358
486	0.02916450781
487	0.02909744952
488	0.02901774807
489	0.02894822711
490	0.02888362986
491	0.02881868898
492	0.02875886786
493	0.02867630104
494	0.02860150194
495	0.02853179164
496	0.02845501537
497	0.02838133162
498	0.02830533774
499	0.02823557651
