iter	MultiClass
0	1.86361355
1	1.758497004
2	1.709007749
3	1.62999055
4	1.552521173
5	1.486096301
6	1.438531672
7	1.398451449
8	1.345316967
9	1.290491804
10	1.238813347
11	1.196322703
12	1.157620451
13	1.118862103
14	1.084198926
15	1.053641052
16	1.020548174
17	0.9934278517
18	0.9651286681
19	0.9447948029
20	0.9246134213
21	0.8948990947
22	0.8689110821
23	0.8404021269
24	0.8213972709
25	0.8031839794
26	0.7846946767
27	0.7684382956
28	0.7526238767
29	0.7338536308
30	0.715868811
31	0.6988828542
32	0.6825917347
33	0.6675571847
34	0.6528338881
35	0.6368530752
36	0.6222193715
37	0.6128238005
38	0.5981608843
39	0.5866710323
40	0.5737330155
41	0.5633722217
42	0.5547641999
43	0.5423590493
44	0.5306090112
45	0.5229062524
46	0.5131214827
47	0.5063202557
48	0.4952873208
49	0.4874211826
50	0.4769443636
51	0.4694084778
52	0.4614437108
53	0.45237164
54	0.4440500457
55	0.4356993916
56	0.4276045099
57	0.4196106058
58	0.4121512073
59	0.4052248723
60	0.3996364551
61	0.3920322941
62	0.3857462577
63	0.3796235111
64	0.3744977535
65	0.367548904
66	0.3618860518
67	0.3579299218
68	0.3514450355
69	0.3457694555
70	0.3405467545
71	0.335189927
72	0.3301211413
73	0.3261346841
74	0.320661314
75	0.3170311969
76	0.3114976803
77	0.306147675
78	0.301410059
79	0.2971440481
80	0.2931496485
81	0.2899332789
82	0.285186901
83	0.2813616758
84	0.2778584184
85	0.2737920425
86	0.2702325008
87	0.2663253231
88	0.2633362876
89	0.2594015613
90	0.2561905693
91	0.2525577844
92	0.2493428541
93	0.2467616743
94	0.2437276589
95	0.2417268375
96	0.2389428552
97	0.2358307849
98	0.2334348031
99	0.2311262281
100	0.2291270671
101	0.2275063411
102	0.2255521417
103	0.2238543798
104	0.2211307721
105	0.2185466914
106	0.2158648883
107	0.2140971324
108	0.2114508329
109	0.2094590252
110	0.2072829196
111	0.2047325604
112	0.202449248
113	0.2000663826
114	0.1977473318
115	0.1955607033
116	0.1936581403
117	0.1913418298
118	0.1890767292
119	0.1873300262
120	0.1852727207
121	0.1832283354
122	0.181636391
123	0.1798846962
124	0.1781260998
125	0.1765668465
126	0.1742758336
127	0.1719429428
128	0.1700829841
129	0.1681874408
130	0.1665189301
131	0.1647257344
132	0.1627878699
133	0.1611140649
134	0.159510113
135	0.1575637806
136	0.1562612116
137	0.1544771646
138	0.1528957858
139	0.151356133
140	0.1501849034
141	0.1486719732
142	0.1476323531
143	0.1463812976
144	0.1453782323
145	0.1442898131
146	0.1427758872
147	0.1413128734
148	0.1398772882
149	0.1388246986
150	0.1378392061
151	0.1365692882
152	0.1356091682
153	0.134409162
154	0.1330962269
155	0.1318607665
156	0.1307824757
157	0.1295618146
158	0.1285167616
159	0.1274240495
160	0.1263523751
161	0.1252923384
162	0.1244510146
163	0.12337419
164	0.1222228869
165	0.1212037299
166	0.1201330397
167	0.1189004886
168	0.1179474992
169	0.1170583931
170	0.1160830857
171	0.1150809076
172	0.1142746126
173	0.1133615305
174	0.1123220753
175	0.1115186159
176	0.1106662146
177	0.1099839026
178	0.109101058
179	0.1082013018
180	0.1073922745
181	0.1065542449
182	0.1056732055
183	0.1048546062
184	0.1041756088
185	0.1033283413
186	0.1024932642
187	0.1017571726
188	0.1010692648
189	0.1003158391
190	0.09961311357
191	0.0988718873
192	0.09816797997
193	0.0975217308
194	0.09702570615
195	0.09633113782
196	0.09572302343
197	0.09509246816
198	0.09441010839
199	0.09381462031
200	0.09320838454
201	0.09249392797
202	0.09182176294
203	0.09114198778
204	0.09048575703
205	0.08983809005
206	0.08912716379
207	0.08854596083
208	0.08794836402
209	0.08731473137
210	0.0866778954
211	0.08613243049
212	0.0855469303
213	0.08503262376
214	0.08430342602
